---,Name,Star,SemiMajorAu,Eccentricity,InclinationDeg,PeriodDays,RadiusEarth,MassEarth,EqTempK,DiscoveryYear
HD_133131_A_c,HD 133131 A c,HD_133131_A,4.49,0.49,90,3568,14.3,133.489,128.96,2016
HD_133131_B_b,HD 133131 B b,HD_133131_B,6.15,0.61,90,5769,13.3,794.575,112.28,2016
HD_134060_b,HD 134060 b,HD_134060,0.0444,0.45,90,3.2696,3.16,10.1,1473.18,2019
HD_134060_c,HD 134060 c,HD_134060,2.3928,0.11,90,1291.56,5.91,29.29,200.67,2019
HD_134606_e,HD 134606 e,HD_134606,0.0527,0.2,90,4.3203,1.33,2.34,1260.39,2024
HD_134606_b,HD 134606 b,HD_134606,0.1046,0.092,90,12.089,2.97,9.09,894.63,2024
HD_134606_f,HD 134606 f,HD_134606,0.1784,0.081,90,26.915,2.24,5.63,685.04,2024
HD_134606_c,HD 134606 c,HD_134606,0.3007,0.055,90,58.883,3.37,11.31,527.65,2024
HD_134606_d,HD 134606 d,HD_134606,1.941,0.092,90,966.5,7.59,44.8,207.68,2024
HD_134987_b,HD 134987 b,HD_134987,0.81,0.23,90,258.18,13.5,511.706,339.45,1999
HD_134987_c,HD 134987 c,HD_134987,5.8,0.12,90,5000,13.9,260,125.03,2009
HD_135344_A_b,HD 135344 A b,HD_135344_A,16.5,0.5,73.6,-1,16.253,3178.28,1585,2025
HD_135625_b,HD 135625 b,HD_135625,5.4,0.16,93,4055,13.3,731.005,146.04,2023
HD_135694_b,HD 135694 b,HD_135694,0.124695,0,90,15.9235,2.857,6.1,750.83,2023
HD_135872_b,HD 135872 b,HD_135872,4.172,0.164,93.872,2422.33,12.8,1744.56,233.64,2022
HD_136118_b,HD 136118 b,HD_136118,2.327,0.344,116.779,1187.6,12.3,4164.19,249.62,2022
HD_136352_b,HD 136352 b,HD_136352,0.0964,0,88.49,11.578,1.664,4.72,905,2019
HD_136352_c,HD 136352 c,HD_136352,0.1721,0,88.571,27.5922,2.916,11.24,677,2019
HD_136352_d,HD 136352 d,HD_136352,0.425,0,89.73,107.245,2.562,8.82,431,2019
HD_136418_b,HD 136418 b,HD_136418,1.29,0.25,90,464.3,13.3,680.156,411.81,2009
HD_136925_b,HD 136925 b,HD_136925,5.13,0.103,90,4540,13.9,266.976,134.25,2021
HD_13724_c,HD 13724 c,HD_13724,0.534,0.651,90,142.229,8.18,50.8525,393.06,2022
HD_137388_b,HD 137388 b,HD_137388,0.89,0.36,90,330,9.32,63.566,248.42,2011
HD_137496_b,HD 137496 b,HD_137496,0.02732,0,85.8,1.62116,1.31,4.04,2130,2021
HD_137496_c,HD 137496 c,HD_137496,1.2163,0.477,90,479.9,12.6,2434.57,370,2021
HD_13808_b,HD 13808 b,HD_13808,0.10519,0.071,90,14.1815,3.35,11.2,661.56,2021
HD_13808_c,HD 13808 c,HD_13808,0.2554,0.156,90,53.753,3.13,9.96,424.57,2021
HD_13908_b,HD 13908 b,HD_13908,0.154,0.02,90,19.382,13.9,274.91,993.25,2013
HD_13908_c,HD 13908 c,HD_13908,2.03,0.12,90,931,12.8,1630.4,273.57,2013
HD_13931_b,HD 13931 b,HD_13931,5.15,0.02,43,4218,13.2,889.92,139.38,2009
HD_139357_b,HD 139357 b,HD_139357,2.949,0.099,103.235,1124.79,12.1,6315.57,446.97,2008
HD_1397_b,HD 1397 b,HD_1397,0.1097,0.251,88.99,11.5353,11.5004,131.899,1228.3,2018
HD_14067_b,HD 14067 b,HD_14067,5.15,0.65,39,2744,12.2,4862.77,360.28,2014
HD_140901_b,HD 140901 b,HD_140901,0.085,0.472,90,9.02378,4.07,15.5736,904.37,2022
HD_140901_c,HD 140901 c,HD_140901,11.8,0.77,40,14386,13.4,572.091,76.76,2022
HD_141004_b,HD 141004 b,HD_141004,0.1238,0.16,90,15.5083,3.77,13.6348,950.73,2021
HD_141399_b,HD 141399 b,HD_141399,0.415,0.04,90,94.44,14.3,143.341,493.71,2014
HD_141399_c,HD 141399 c,HD_141399,0.689,0.048,90,201.99,13.6,422.714,383.17,2014
HD_141399_d,HD 141399 d,HD_141399,2.09,0.074,90,1069.8,13.7,375.039,220,2014
HD_141399_e,HD 141399 e,HD_141399,5,0.26,90,5000,14.1,209.768,142.24,2014
HD_141937_b,HD 141937 b,HD_141937,1.54,0.46,90,662.37,12.4,3591.46,231.49,2002
HD_142_A_d,HD 142 A d,HD_142,0.474,0.13,90,108.453,10.9,82.6354,530.32,2022
HD_142_b,HD 142 b,HD_142,1.039,0.158,59,351.434,12.7,2256.58,358.19,2001
HD_142_c,HD 142 c,HD_142,9.811,0.277,90.374,10159.6,12.4,3464.65,116.56,2012
HD_142022_A_b,HD 142022 A b,HD_142022_A,2.93,0.53,71,1928,12.9,1433.41,155.74,2005
HD_142245_b,HD 142245 b,HD_142245,2.78,0,90,1299,13.1,975.738,306.3,2011
HD_142415_b,HD 142415 b,HD_142415,1.06,0.5,90,386.3,13.5,530.776,283.72,2003
HD_143105_b,HD 143105 b,HD_143105,0.0379,0.07,90,2.1974,13.7,384.574,2028.25,2016
HD_143361_b,HD 143361 b,HD_143361,1.988,0.197,50,1039.15,12.9,1382.55,180.26,2008
HD_143811_AB_b,HD 143811 AB b,HD_143811_A,63,0.19,37,117000,15.6926,1938.75,1042,2025
HD_144899_b,HD 144899 b,HD_144899,0.242,0.821,90,40.4391,4.77,20.341,770.87,2022
HD_145377_b,HD 145377 b,HD_145377,0.45,0.31,90,103.95,12.8,1913.34,442.98,2008
HD_145457_b,HD 145457 b,HD_145457,0.762,0.111,90,176.13,13.2,888.013,826.81,2010
HD_145934_b,HD 145934 b,HD_145934,4.89,0.078,81.958,2751.53,13.4,658.54,276.92,2015
HD_1461_b,HD 1461 b,HD_1461,0.0634,0.172,90,5.77152,2.42,6.44,1185.14,2010
HD_1461_c,HD 1461 c,HD_1461,0.1117,0.305,90,13.5052,2.23,5.59,892.87,2015
HD_147018_b,HD 147018 b,HD_147018,0.2388,0.4686,90,44.236,13.4,674,519.98,2009
HD_147018_c,HD 147018 c,HD_147018,1.922,0.133,90,1008,12.7,2080,183.28,2009
HD_147379_b,HD 147379 b,HD_147379,0.3193,0.063,90,86.58,4.94,21.6,276.66,2017
HD_147513_b,HD 147513 b,HD_147513,1.32,0.26,90,528.4,13.7,385,244.43,2003
HD_14787_b,HD 14787 b,HD_14787,1.7,0.155,90,676.6,13.7,356.287,409.43,2018
HD_147873_b,HD 147873 b,HD_147873,0.522,0.207,90,116.596,12.8,1633.65,603.16,2016
HD_147873_c,HD 147873 c,HD_147873,1.36,0.23,90,491.54,13.3,731.009,373.68,2016
HD_148156_b,HD 148156 b,HD_148156,2.45,0.52,90,1027,13.9,270.144,213.76,2009
HD_148164_b,HD 148164 b,HD_148164,0.993,0.587,90,328.55,13.7,390.931,337.89,2018
HD_148164_c,HD 148164 c,HD_148164,6.15,0.125,90,5062,12.8,1640,135.77,2018
HD_148427_b,HD 148427 b,HD_148427,1.11,0.12,90.2,331.9,13.7,381.394,451.86,2009
HD_149026_b,HD 149026 b,HD_149026,0.04364,0,84.55,2.87589,8.29466,120.775,1626,2005
HD_149143_b,HD 149143 b,HD_149143,0.053,0.0167,90,4.07182,13.6,422.714,1471.9,2005
HD_149806_b,HD 149806 b,HD_149806,12.404,0.357,13.574,16521.5,12.3,4003.68,69.13,2022
HD_150010_b,HD 150010 b,HD_150010,1.4,0.2,90,562,13.3,762.788,681.22,2022
HD_1502_b,HD 1502 b,HD_1502,1.262,0.031,90,428.5,13.2,874.033,458.89,2011
HD_150706_b,HD 150706 b,HD_150706,6.7,0.38,70,5894,13.3,772.323,108.81,2012
HD_151450_b,HD 151450 b,HD_151450,0.16,0.496,90,21.8929,6.94,38.4572,795,2022
HD_151450_c,HD 151450 c,HD_151450,14.131,0.138,42.369,18144.8,12.8,1636.18,84.59,2022
HD_152079_b,HD 152079 b,HD_152079,4.187,0.532,90,2918.92,13.2,845.746,147.84,2009
HD_152581_b,HD 152581 b,HD_152581,1.66,0.04,90,686.5,13.4,594.024,426.55,2011
HD_152843_b,HD 152843 b,HD_152843,0.1049,0.046,89.26,11.6207,3.05,9.82,1003.11,2021
HD_152843_c,HD 152843 c,HD_152843,0.1482,0.074,89.21,19.5021,5.94,9.67,253.08,2021
HD_15337_b,HD 15337 b,HD_15337,0.05245,0.058,89.3,4.75598,1.77,6.519,1001,2019
HD_15337_c,HD 15337 c,HD_15337,0.1235,0.096,88.41,17.1805,2.526,6.792,656.1,2019
HD_153557_b,HD 153557 b,HD_153557,0.068,0.065,90,7.29903,4.77,20.341,772.12,2022
HD_153557_c,HD 153557 c,HD_153557,0.111,0.511,90,15.2702,4.36,17.4806,604.33,2022
HD_153557_d,HD 153557 d,HD_153557,21.449,0.152,14.324,40654.6,11.9,8725.66,43.47,2022
HD_153950_b,HD 153950 b,HD_153950,1.28,0.34,90,499.4,13.2,937.598,295.3,2008
HD_154088_b,HD 154088 b,HD_154088,0.134,0.344,90,18.56,2.46,6.6,689.99,2021
HD_154345_b,HD 154345 b,HD_154345,4.158,0.058,88,3280,13.7,376.944,119.21,2006
HD_154391_b,HD 154391 b,HD_154391,7.46,0.2,47,5163,12.5,2892.24,253.57,2023
HD_154672_b,HD 154672 b,HD_154672,0.6,0.61,90,163.94,12.8,1706.75,410.76,2008
HD_154857_b,HD 154857 b,HD_154857,1.29,0.46,90,408.6,13.3,778.683,359.86,2004
HD_154857_c,HD 154857 c,HD_154857,5.36,0.06,90,3452,13.2,819.97,154.88,2014
HD_155193_b,HD 155193 b,HD_155193,1.04,0.21,0.7112,352.65,14,238.371,391.86,2021
HD_155358_b,HD 155358 b,HD_155358,0.63,0.17,90,194.3,13.8,314.652,421.43,2007
HD_155358_c,HD 155358 c,HD_155358,1.02,0.16,90,391.9,13.9,261,330.92,2007
HD_155918_b,HD 155918 b,HD_155918,0.03,0.194,90,1.87567,2.67,7.62788,1622.13,2022
HD_155918_c,HD 155918 c,HD_155918,13.183,0.071,31.771,17202.2,12.8,1878.05,77.38,2022
HD_156098_b,HD 156098 b,HD_156098,0.167,0.109,90,21.8585,4.12,15.8914,1257.73,2022
HD_156098_c,HD 156098 c,HD_156098,8.415,0.391,23.462,7841.58,12.8,1661.61,177.18,2022
HD_156279_b,HD 156279 b,HD_156279,0.502,0.647,87,133.404,12.5,2997.76,361.73,2011
HD_156279_c,HD 156279 c,HD_156279,5.486,0.261,74.699,4818.25,12.5,3098.83,109.42,2016
HD_156411_b,HD 156411 b,HD_156411,1.88,0.22,90,842.2,14,235.18,304.95,2009
HD_156668_b,HD 156668 b,HD_156668,0.05,0,90,4.6455,1.87,4.15,887.48,2010
HD_156668_c,HD 156668 c,HD_156668,1.57,0.089,90,811.3,6.17,31.4968,166.08,2021
HD_156846_b,HD 156846 b,HD_156846,1.12,0.85,90,359.51,12.4,3391.25,382.49,2007
HD_158038_b,HD 158038 b,HD_158038,1.5,0.29,90,521,13.5,486.28,405.91,2011
HD_158259_b,HD 158259 b,HD_158259,-1,0,90,2.178,1.28228,2.22,1462,2020
HD_158259_c,HD 158259 c,HD_158259,-1,0,90,3.432,2.23,5.6,-1,2020
HD_158259_d,HD 158259 d,HD_158259,-1,0,90,5.19808,2.18,5.41,-1,2020
HD_158259_e,HD 158259 e,HD_158259,-1,0,90,7.951,2.34,6.08,-1,2020
HD_158259_f,HD 158259 f,HD_158259,-1,0,90,12.028,2.35,6.14,-1,2020
HD_158996_b,HD 158996 b,HD_158996,2.1,0.13,90,820.2,12.3,4449.62,960.27,2018
HD_15906_b,HD 15906 b,HD_15906,0.09,0.11,87.98,10.9247,2.24,5.65,668,2023
HD_15906_c,HD 15906 c,HD_15906,0.141,0.04,88.75,21.5833,2.93,8.91,532,2023
HD_159243_b,HD 159243 b,HD_159243,0.11,0.02,90,12.62,13.7,359.13,942.13,2013
HD_159243_c,HD 159243 c,HD_159243,0.8,0.075,90,248.4,13.4,603.9,349.35,2013
HD_159868_c,HD 159868 c,HD_159868,1.032,0.184,90,351,14,244.093,383.37,2012
HD_159868_b,HD 159868 b,HD_159868,2.32,0.024,90,1184.1,13.3,704.947,255.69,2006
HD_1605_b,HD 1605 b,HD_1605,1.492,0.095,90,577.2,13.8,296.853,362.48,2015
HD_1605_c,HD 1605 c,HD_1605,3.584,0.099,90,2149,13,1150.54,233.88,2015
HD_160691_d,HD 160691 d,HD_160691,0.0952,0,90,9.6392,3.23,10.49,900,2004
HD_160691_e,HD 160691 e,HD_160691,0.96,0.0666,60,307.9,-1,2224.8,327.66,2006
HD_160691_b,HD 160691 b,HD_160691,1.5,0.0505,60,645,-1,1366.66,262.13,2000
HD_160691_c,HD 160691 c,HD_160691,4.17,0.039,60,3947,-1,1398.44,157.21,2004
HD_161178_b,HD 161178 b,HD_161178,0.85,0.044,90,279.3,14.1,181.162,828.33,2021
HD_16141_b,HD 16141 b,HD_16141,0.36,0.25,90,75.523,10.9,82.6358,562.87,2000
HD_16175_b,HD 16175 b,HD_16175,2.12,0.6,59,990,12.8,1875.19,259.78,2009
HD_162020_b,HD 162020 b,HD_162020,0.08,0.28,90,8.4282,12.5,3127.45,650,2002
HD_163607_b,HD 163607 b,HD_163607,0.362,0.7441,90,75.2203,13.9,249.052,587.13,2012
HD_163607_c,HD 163607 c,HD_163607,2.39,0.08,90,1272,13.3,699.544,228.5,2012
HD_16417_b,HD 16417 b,HD_16417,0.14,0.2,90,17.24,5,22.1,964,2008
HD_164509_b,HD 164509 b,HD_164509,0.87,0.238,90,280.17,14.3,140.799,319.12,2012
HD_164595_b,HD 164595 b,HD_164595,0.23,0.088,90,40,4.16,16.14,589,2015
HD_164604_b,HD 164604 b,HD_164604,1.362,0.479,10.6,653.9,12.3,4195.33,170.16,2009
HD_164604_c,HD 164604 c,HD_164604,5.556,0.196,8.6,5387,12.5,3019.37,84.25,2026
HD_164922_d,HD 164922 d,HD_164922,0.103,0.12,90,12.458,1.83,4,787.68,2020
HD_164922_e,HD 164922 e,HD_164922,0.2292,0.086,90,41.763,3.23,10.5201,543.73,2021
HD_164922_c,HD 164922 c,HD_164922,0.341,0.12,90,75.74,3.66,13,400.5,2016
HD_164922_b,HD 164922 b,HD_164922,2.16,0.08,90,1207,13.3,116,159.4,2005
HD_165131_b,HD 165131 b,HD_165131,3.54,0.6708,70,2342.6,12.1,5943.39,155.2,2023
HD_165155_b,HD 165155 b,HD_165155,1.13,0.2,90,434.5,13.2,918.529,239.9,2016
HD_1666_b,HD 1666 b,HD_1666,0.94,0.63,90,270,12.7,2040,436.47,2015
HD_166724_b,HD 166724 b,HD_166724,5.42,0.734,68,5144,13,1207.75,94.83,2012
HD_167042_b,HD 167042 b,HD_167042,1.22,0.01,90,417.67,13.6,444.006,462.08,2007
HD_16760_b,HD 16760 b,HD_16760,1.156,0.079,43.3,466.08,12.1,6833.31,226.14,2009
HD_167677_b,HD 167677 b,HD_167677,2.877,0.182,28.7,1820,13.2,905.811,151.9,2023
HD_167768_b,HD 167768 b,HD_167768,0.1512,0.149,90,20.6532,13.9,270.154,1873.59,2022
HD_168009_b,HD 168009 b,HD_168009,0.1192,0.12,90,15.1479,3.05,9.53485,887.57,2021
HD_168443_b,HD 168443 b,HD_168443,0.292,0.53,92,58.1119,12.6,2424.4,641.03,1998
HD_168443_c,HD 168443 c,HD_168443,2.842,0.21,91.218,1753.11,12.2,5500.34,205.47,2000
HD_168746_b,HD 168746 b,HD_168746,0.07,0.11,90,6.404,11.1,85.8141,900,2002
HD_168863_b,HD 168863 b,HD_168863,10.961,0.187,129.839,14773.9,12.7,2154.88,63.01,2022
HD_1690_b,HD 1690 b,HD_1690,1.36,0.64,90,533,12.5,2793.73,841.73,2010
HD_16905_b,HD 16905 b,HD_16905,8.8,0.68,43,10256,12.4,3591.46,69.63,2022
HD_169142_b,HD 169142 b,HD_169142,37.2,0,13,-1,13.1,953.485,71.02,2023
HD_169830_b,HD 169830 b,HD_169830,0.765,0.294,90,225.674,13.2,804.424,345,2000
HD_169830_c,HD 169830 c,HD_169830,3.075,0.246,24.469,1818.82,12.6,2437.43,241.03,2003
HD_170469_b,HD 170469 b,HD_170469,2.24,0.11,90,1145,14.1,209.768,209.6,2007
HD_17092_b,HD 17092 b,HD_17092,1.31,0.17,90,359.9,12.5,3219.62,671.64,2007
HD_171028_b,HD 171028 b,HD_171028,1.32,0.59,90,550,13.2,832.715,374.07,2007
HD_171238_b,HD 171238 b,HD_171238,2.518,0.358,19.1,1515,12.5,2796.89,166.96,2009
HD_17156_b,HD 17156 b,HD_17156,0.1632,0.6772,86.51,21.2164,12.2626,1036.12,888,2007
HD_173416_b,HD 173416 b,HD_173416,1.158,0.208,90,322.03,13.4,585.122,771.03,2008
HD_174205_b,HD 174205 b,HD_174205,1.7,0.4,90,582,13,1334.88,821.72,2022
HD_175167_b,HD 175167 b,HD_175167,2.4,0.51,60,1175,12.3,4703.86,232.03,2009
HD_175541_b,HD 175541 b,HD_175541,0.975,0.11,90,298.43,14.1,190.062,501.11,2007
HD_175607_b,HD 175607 b,HD_175607,-1,0.11,0.1865,29.01,-1,2456.18,-1,2015
HD_17674_b,HD 17674 b,HD_17674,1.42,0.13,90,623.8,13.9,276.512,259.52,2017
HD_176986_b,HD 176986 b,HD_176986,0.062956,0.066,0.2581,6.49164,-1,1487.75,767,2017
HD_176986_c,HD 176986 c,HD_176986,0.11873,0.111,0.2419,16.8124,-1,2097.99,558,2017
HD_176986_d,HD 176986 d,HD_176986,0.28149,0,90,61.376,2.49,6.76,363,2026
HD_177565_b,HD 177565 b,HD_177565,0.246,0.0593,90,44.505,4,15.1,539.21,2017
HD_177830_c,HD 177830 c,HD_177830,0.5137,0.3,90,110.9,7.87,47.6725,538.95,2010
HD_177830_b,HD 177830 b,HD_177830,1.14,0.1,90,410.1,13.5,537.133,399.64,1999
HD_178911_B_b,HD 178911 B b,HD_178911_B,0.34,0.11,90,71.484,12.6,2552.17,480.24,2001
HD_179079_b,HD 179079 b,HD_179079,0.1214,0.049,0.3766,14.479,-1,4195.33,997.61,2008
HD_179949_b,HD 179949 b,HD_179949,0.0443,0.022,90,3.09251,13.9,291.12,1590.53,2000
HD_180053_b,HD 180053 b,HD_180053,0.843,0.081,90,213.72,13.3,697.319,542.98,2018
HD_18015_b,HD 18015 b,HD_18015,3.87,0.148,69,2278,13.1,1048.83,242.98,2018
HD_180314_b,HD 180314 b,HD_180314,1.448,0.247,90,394.73,12,7216.93,597.64,2010
HD_180617_b,HD 180617 b,HD_180617,0.343,0.101,90,105.911,3.53,12.214,201.8,2018
HD_180902_b,HD 180902 b,HD_180902,1.4,0.107,90,510.9,13.5,535.544,412.37,2009
HD_181234_b,HD 181234 b,HD_181234,7.427,0.726,98.732,7593.41,12.5,2980.91,98.09,2019
HD_181342_b,HD 181342 b,HD_181342,1.592,0.022,90,564.1,13.2,807.288,410.15,2009
HD_18143_b,HD 18143 b,HD_18143,0.088,0.224,90,10.2851,3.28,10.8062,769.92,2022
HD_18143_c,HD 18143 c,HD_18143,17.53,0.194,35.98,28982.4,12.5,3177.65,54.55,2022
HD_181433_b,HD 181433 b,HD_181433,0.0828,0.396,0.2542,9.3745,-1,1708.65,732.52,2008
HD_181433_c,HD 181433 c,HD_181433,1.885,0.2402,111,1018.5,-1,2207,153.53,2008
HD_181433_d,HD 181433 d,HD_181433,6.74,0.444,164.5,6896.1,13.2,858.137,81.19,2008
HD_181720_b,HD 181720 b,HD_181720,1.85,0.26,90,956,14,127.132,249.06,2009
HD_183263_b,HD 183263 b,HD_183263,1.46,0.383,90,624.874,13.1,1103.18,263.26,2004
HD_183263_c,HD 183263 c,HD_183263,5.585,0.051,73.718,4667.98,12.5,2958.98,134.6,2008
HD_183579_b,HD 183579 b,HD_183579,0.1322,0.061,89.11,17.4713,3.49,20.4,752,2021
HD_184010_b,HD 184010 b,HD_184010,0.94,0,90,286.6,12.1,98.5268,545.04,2022
HD_184010_c,HD 184010 c,HD_184010,1.334,0,90,484.3,11.8,95.3485,457.53,2022
HD_184010_d,HD 184010 d,HD_184010,1.92,0,90,836.4,14.3,143.023,381.37,2022
HD_18438_b,HD 18438 b,HD_18438,2.1,0.1,90,803,12.1,6674.4,1208.15,2023
HD_185269_b,HD 185269 b,HD_185269,0.077,0.229,90,6.83776,13.8,321.008,1455.61,2006
HD_185283_b,HD 185283 b,HD_185283,4.6,0.07,91,4060,13.6,413.177,93.97,2023
HD_18599_b,HD 18599 b,HD_18599,0.048,0.34,87.6,4.13744,2.6,24.1,863,2022
HD_187085_b,HD 187085 b,HD_187085,2.1,0.251,90,1019.74,13.9,265.706,229.38,2006
HD_187123_b,HD 187123 b,HD_187123,0.0426,0.0103,79,3.09658,14.2,166.218,1450.9,1998
HD_187123_c,HD 187123 c,HD_187123,4.89,0.252,137.2,3810,13.2,912.168,135.42,2008
HD_18742_b,HD 18742 b,HD_18742,1.82,0.04,90,766,13.1,1080.62,399.93,2011
HD_188015_b,HD 188015 b,HD_188015,1.203,0.137,90,461.2,13.6,476.72,267.98,2004
HD_188641_b,HD 188641 b,HD_188641,12.027,0.034,49.245,14583.8,11.9,9333.03,114.36,2022
HD_189567_b,HD 189567 b,HD_189567,0.111,0.189,90,14.288,2.85,8.5,845.16,2021
HD_189567_c,HD 189567 c,HD_189567,0.197,0.16,90,33.688,2.54,7,634.41,2021
HD_189733_b,HD 189733 b,HD_189733,0.03126,0,85.71,2.21858,12.6662,359.148,1209,2005
HD_190007_b,HD 190007 b,HD_190007,0.092,0.136,90,11.7241,4.06,15.5,651.41,2020
HD_190228_b,HD 190228 b,HD_190228,2.406,0.559,94.987,1143.6,12.9,1598.68,267.99,2022
HD_190360_c,HD 190360 c,HD_190360,0.1298,0.163,95,17.1163,5.53,26.2,794.55,2005
HD_190360_d,HD 190360 d,HD_190360,0.3886,0.058,88,88.69,3.48,11.9,459.21,2026
HD_190360_b,HD 190360 b,HD_190360,3.965,0.3342,71,2887.5,13.5,537,150,2003
HD_190647_b,HD 190647 b,HD_190647,2.231,0.224,90,1176.45,13.4,630.893,214.19,2007
HD_190984_b,HD 190984 b,HD_190984,5.5,0.57,64,4885,13,1137.83,152.29,2009
HD_191806_b,HD 191806 b,HD_191806,2.749,0.213,66.519,1603.39,12.5,2966.61,206.98,2016
HD_191939_b,HD 191939 b,HD_191939,0.0804,0.031,88.1,8.88033,3.41,10,880,2020
HD_191939_c,HD 191939 c,HD_191939,0.1752,0.034,89.1,28.5797,3.195,8,600,2020
HD_191939_d,HD 191939 d,HD_191939,0.2132,0.031,89.49,38.353,2.995,2.8,540,2020
HD_191939_e,HD 191939 e,HD_191939,0.407,0.031,88.7,101.12,13,112.2,390,2022
HD_191939_g,HD 191939 g,HD_191939,0.812,0.03,90,284,3.74,13.5,278,2022
HD_191939_f,HD 191939 f,HD_191939,3.71,0,90,2898,13.2,915.346,125,2022
HD_192263_b,HD 192263 b,HD_192263,0.15,0.05,90,24.3556,14.2,177.985,486,1999
HD_192310_b,HD 192310 b,HD_192310,0.32,0.13,90,74.72,4.27,16.9,355,2011
HD_192310_c,HD 192310 c,HD_192310,1.18,0.32,90,525.8,5.25,24,185,2011
HD_192699_b,HD 192699 b,HD_192699,1.063,0.082,90,340.94,13.4,666.172,495.11,2007
HD_194490_b,HD 194490 b,HD_194490,11.116,0.251,57.99,13092.2,12.4,3561.9,90.87,2022
HD_195019_b,HD 195019 b,HD_195019,0.14,0.01,90,18.2013,13,1264.96,901.66,1998
HD_196050_b,HD 196050 b,HD_196050,2.65,0.2,42,1392,12.9,1493.79,207.52,2002
HD_196067_c,HD 196067 c,HD_196067,-1,0.235,90,4.60109,3.21,10.4,-1,2025
HD_196067_b,HD 196067 b,HD_196067,4.71,0.56292,29.7,3413.7,12.4,3623.24,176.42,2012
HD_19615_b,HD 19615 b,HD_19615,1.1,0.2,90,402,12.6,2701.54,1113.92,2022
HD_196885_A_b,HD 196885 A b,HD_196885_A,2.37,0.48,90,1333,13.2,819.97,224.21,2007
HD_197037_b,HD 197037 b,HD_197037,2.07,0.22,90,1035.7,13.9,251,216.67,2012
HD_199509_b,HD 199509 b,HD_199509,0.426,0.373,90,99.6217,7.43,43.2247,410.73,2022
HD_19994_b,HD 19994 b,HD_19994,1.305,0.063,90,466.2,13.6,435.41,350.1,2003
HD_20003_b,HD 20003 b,HD_20003,0.0974,0.36,90,11.8482,3.43,11.66,814.93,2019
HD_20003_c,HD 20003 c,HD_20003,0.1964,0.1,90,33.9239,3.89,14.44,573.89,2019
HD_200964_b,HD 200964 b,HD_200964,1.565,0.087,90,606.3,13.5,508.21,425.95,2010
HD_200964_c,HD 200964 c,HD_200964,1.96,0.243,90,852.5,13.7,385.846,380.62,2010
HD_202206_b,HD 202206 b,HD_202206,0.81,0.426,51,256.26,12.1,6849.2,314.96,2026
HD_202206_c,HD 202206 c,HD_202206,2.39,0.171,51,1299.22,13.1,982.09,183.35,2004
HD_202696_b,HD 202696 b,HD_202696,1.566,0.011,90,517.8,-1,634.389,492.46,2019
HD_202696_c,HD 202696 c,HD_202696,2.342,0.028,90,946.6,-1,592.435,402.69,2019
HD_202772_A_b,HD 202772 A b,HD_202772_A,0.05208,0.03,84.9,3.30888,18.237,323.549,2181,2019
HD_203030_b,HD 203030 b,HD_203030,487.1,0,90,-1,14.4596,3496.11,1040,2006
HD_20329_b,HD 20329 b,HD_20329,0.018,0,76.01,0.926118,1.72,7.42,2141,2022
HD_203387_b,HD 203387 b,HD_203387,1.771,0.732,90,512.535,13.1,1106.04,610,2022
HD_203387_c,HD 203387 c,HD_203387,5.067,0.202,158.462,2481.07,12.6,2378.95,360.63,2022
HD_2039_b,HD 2039 b,HD_2039,2.2,0.71,90,1120,12.7,1999.15,210.84,2002
HD_204313_c,HD 204313 c,HD_204313,0.211,0.059,90,34.9588,4.31,17.1627,634.95,2015
HD_204313_b,HD 204313 b,HD_204313,3.185,0.1,72.917,2041.12,12.9,1466.78,163.43,2010
HD_204313_e,HD 204313 e,HD_204313,7.457,0.253,176.092,7325.65,12.2,4868.18,106.81,2022
HD_204941_b,HD 204941 b,HD_204941,2.55,0.37,90,1733,10.1,73.1009,134.04,2011
HD_205158_b,HD 205158 b,HD_205158,0.177,0.145,90,25.338,13.9,124.589,963.25,2022
HD_205739_b,HD 205739 b,HD_205739,0.896,0.27,90,279.8,13.6,435.41,362.84,2008
HD_206255_b,HD 206255 b,HD_206255,0.461,0.23,90,96.045,6.47,34.2,596.48,2019
HD_206610_b,HD 206610 b,HD_206610,1.74,0.1,90,673.2,13.4,647.102,437.88,2009
HD_206893_c,HD 206893 c,HD_206893,3.74,0.283,142.5,2290,16.3651,3527.9,1181.9,2022
HD_206893_b,HD 206893 b,HD_206893,10.75,0.069,142,11100,14.0112,6197.65,1429.2,2021
HD_207496_b,HD 207496 b,HD_207496,0.0629,0.231,88.79,6.44101,2.25,6.1,743,2023
HD_20781_b,HD 20781 b,HD_20781,0.0529,0.1,90,5.3135,1.21,1.93,1006.1,2019
HD_20781_c,HD 20781 c,HD_20781,0.1004,0.09,90,13.8905,2.17,5.33,730.3,2019
HD_20781_d,HD 20781 d,HD_20781,0.1647,0.11,90,29.158,3.25,10.61,570.19,2019
HD_20781_e,HD 20781 e,HD_20781,0.3374,0.06,90,85.5073,3.83,14.03,398.38,2019
HD_20782_b,HD 20782 b,HD_20782,1.3649,0.95,90,597.064,13.6,472.83,253.34,2006
HD_207832_b,HD 207832 b,HD_207832,0.586,0.197,90,160.07,14.2,177.985,340.28,2012
HD_207832_c,HD 207832 c,HD_207832,2.112,0.27,90,1155.7,14,232.016,179.84,2012
HD_207897_b,HD 207897 b,HD_207897,0.117,0,88.757,16.2017,2.34302,14.8,581.75,2021
