---,Name,Star,SemiMajorAu,Eccentricity,InclinationDeg,PeriodDays,RadiusEarth,MassEarth,EqTempK,DiscoveryYear
Kepler_46_d,Kepler-46 d,Kepler_46,0.067,0,88.51,6.76659,1.64,3.33,845,2014
Kepler_46_b,Kepler-46 b,Kepler_46,0.1968,0.01,89.038,33.6013,9.057,1907,543,2012
Kepler_46_c,Kepler-46 c,Kepler_46,0.2799,0.0146,87.4,57.011,13.5,119.499,455,2012
Kepler_461_b,Kepler-461 b,Kepler_461,0.07895,0,89.99,8.31378,2.58,7.18,886,2016
Kepler_462_b,Kepler-462 b,Kepler_462,0.4172,0.042,89.34,84.6866,3,53.9,611,2016
Kepler_462_c,Kepler-462 c,Kepler_462,0.7584,0.11,89.63,207.62,4,6,453,2018
Kepler_463_b,Kepler-463 b,Kepler_463,0.07925,0,89.85,8.98102,3.05,9.53,880,2016
Kepler_464_b,Kepler-464 b,Kepler_464,0.07931,0,85.51,7.25697,3.3,10.9,1163,2016
Kepler_465_b,Kepler-465 b,Kepler_465,0.09195,0,89.94,9.94067,2.95,9.01,996,2016
Kepler_466_c,Kepler-466 c,Kepler_466,0.04658,0,89.73,3.70921,1.25,2.1,1206,2016
Kepler_466_b,Kepler-466 b,Kepler_466,0.26769,0,89.98,51.0793,2.85,8.5,503,2016
Kepler_467_b,Kepler-467 b,Kepler_467,0.16848,0,88.37,24.9932,2.25,5.69,712,2016
Kepler_468_b,Kepler-468 b,Kepler_468,0.2213,0,90,38.4788,13.34,-1,484,2016
Kepler_47_b,Kepler-47 b,Kepler_47,0.2877,0.021,89.752,49.4643,3.05,2.07,490.2,2012
Kepler_47_d,Kepler-47 d,Kepler_47,0.6992,0.024,90.395,187.366,7.04,19.02,314.44,2019
Kepler_47_c,Kepler-47 c,Kepler_47,0.9638,0.044,90.1925,303.227,4.65,3.17,267.82,2012
Kepler_471_b,Kepler-471 b,Kepler_471,0.0626,0,89.58,5.01423,14.96,-1,1308,2016
Kepler_472_b,Kepler-472 b,Kepler_472,0.04823,0,83.75,4.17626,3.22,10.5,876,2016
Kepler_473_b,Kepler-473 b,Kepler_473,0.12048,0,89.86,14.5573,4.08,15.6,879,2016
Kepler_474_b,Kepler-474 b,Kepler_474,0.06092,0,86.77,5.66067,3.06,9.59,1115,2016
Kepler_475_b,Kepler-475 b,Kepler_475,0.03989,0,84.85,3.10551,2.49,6.76,980,2016
Kepler_476_b,Kepler-476 b,Kepler_476,0.1126,0,88.33,14.0064,3.08,9.69,807,2016
Kepler_477_b,Kepler-477 b,Kepler_477,0.0911,0,87.75,11.1199,2.07,4.94,649,2016
Kepler_478_b,Kepler-478 b,Kepler_478,0.1032,0,89.23,13.2218,2.71,7.8,640,2016
Kepler_479_b,Kepler-479 b,Kepler_479,0.09636,0,89.04,12.4934,2.12,5.14,649,2016
