---,Name,DistancePc,RaDeg,DecDeg,SpectralType,TeffK,RadiusSun,MassSun,Log10LumSun,PlanetCount
Kepler_1812,Kepler-1812,1409.19,298.085,40.2833,,6174,1.103,1.162,0.27988,1
Kepler_1584,Kepler-1584,1416.31,287.763,43.2744,,6069,1.13,1.1,0.25226,1
Kepler_696,Kepler-696,1416.44,293.497,41.1376,,5903,1.08,1.06,0.15095,1
Kepler_435,Kepler-435,1418.77,292.287,43.1973,,6161,3.21,1.538,1.129,1
Kepler_1591,Kepler-1591,1419.58,296.517,44.6086,,6082,1.16,1.1,0.43389,1
Kepler_590,Kepler-590,1421.81,296.386,48.2334,,6000,1.15,1.1,0.47712,1
Kepler_1820,Kepler-1820,1425.39,296.713,48.2723,,5841,0.931,1.047,-0.02202,1
Kepler_1401,Kepler-1401,1425.43,287.466,40.7584,,5964,1.1,1.07,0.14,1
Kepler_792,Kepler-792,1425.47,292.007,38.8207,,5971,1.12,1.09,0.27379,1
Kepler_1730,Kepler-1730,1427.08,281.961,43.703,,5942,1.142,1.009,0.07455,1
Kepler_1736,Kepler-1736,1430,289.777,38.2622,,6085,0.973,0.976,0.40206,1
Kepler_1375,Kepler-1375,1430.84,296.294,43.4032,,6704,1.78,1.47,0.82249,1
Kepler_355,Kepler-355,1432.17,285.799,42.8117,,6184,1.066,0.933,0.19516,2
Kepler_385,Kepler-385,1432.61,294.339,50.3365,,5829,1.157,1.05,0.14374,3
Kepler_177,Kepler-177,1435.44,286.047,45.0532,,5732,1.324,0.921,0.24,2
Kepler_1297,Kepler-1297,1439.47,289.956,47.0203,,5818,0.99,0.99,0.30193,1
Kepler_1519,Kepler-1519,1441.63,296.668,49.4618,,5644,0.91,0.94,0.32617,1
Kepler_740,Kepler-740,1442.02,286.482,46.6925,,5438,0.87,0.91,-0.12268,1
Kepler_1884,Kepler-1884,1443.09,296.746,43.0454,,5984,0.906,0.993,0.27711,1
Kepler_359,Kepler-359,1443.21,293.294,42.1963,,6248,1.086,0.827,-0.09657,3
Kepler_612,Kepler-612,1445.53,291.355,45.7479,,5693,0.96,0.98,0.30512,1
Kepler_710,Kepler-710,1448.34,291.964,42.6961,,5611,0.91,0.94,0.26474,1
Kepler_1573,Kepler-1573,1455.36,292.988,49.485,,5808,1,1.01,0.16867,1
Kepler_1033,Kepler-1033,1455.5,283.845,44.609,,5547,0.92,0.94,-0.12579,1
Kepler_117,Kepler-117,1455.57,288.793,48.0402,F8 V,6150,1.606,1.129,0.53776,2
Kepler_810,Kepler-810,1458.59,296.615,48.0826,,5803,1.04,1.03,-0.03156,1
HATS_70,HATS-70,1458.83,109.105,-31.2444,,7930,1.881,1.78,1.07918,1
Kepler_1154,Kepler-1154,1460.1,297.477,39.8772,,6327,1.43,1.26,0.45174,2
